customer_id,first_name,last_name,email,phone,city,country,created_at
1,Yahya,Sleiman,yahya@email.com,501111111,Riyadh,Saudi Arabia,5/22/2026
2,Ali,Hassan,ali@email.com,502222222,Jeddah,Saudi Arabia,5/22/2026
3,Mona,Ibrahim,mona@email.com,503333333,Dammam,Saudi Arabia,5/22/2026
4,Khaled,Nasser,khaled@email.com,504444444,Riyadh,Saudi Arabia,5/22/2026
5,Khaled,Sleiman,khaled.sleiman5@email.com,546913810,Khobar,Saudi Arabia,5/22/2026
6,Ahmed,Mohammed,ahmed.mohammed6@email.com,523756669,Khobar,Saudi Arabia,5/22/2026
7,Huda,Ibrahim,huda.ibrahim7@email.com,566629388,Madinah,Saudi Arabia,5/22/2026
8,Yahya,Ibrahim,yahya.ibrahim8@email.com,541227216,Jeddah,Saudi Arabia,5/22/2026
9,Nader,Sleiman,nader.sleiman9@email.com,536687537,Madinah,Saudi Arabia,5/22/2026
10,Huda,Othman,huda.othman10@email.com,570291817,Jeddah,Saudi Arabia,5/22/2026
11,Noura,Sleiman,noura.sleiman11@email.com,566722344,Jeddah,Saudi Arabia,5/22/2026
12,Noura,Mohammed,noura.mohammed12@email.com,555176955,Jeddah,Saudi Arabia,5/22/2026
13,Mona,Kareem,mona.kareem13@email.com,558181396,Riyadh,Saudi Arabia,5/22/2026
14,Hassan,Maher,hassan.maher14@email.com,515831819,Dammam,Saudi Arabia,5/22/2026
15,Layla,Saad,layla.saad15@email.com,560806024,Riyadh,Saudi Arabia,5/22/2026
16,Huda,Saleh,huda.saleh16@email.com,593016315,Khobar,Saudi Arabia,5/22/2026
17,Hassan,Rashid,hassan.rashid17@email.com,519335534,Jeddah,Saudi Arabia,5/22/2026
18,Ahmed,Saleh,ahmed.saleh18@email.com,541244663,Riyadh,Saudi Arabia,5/22/2026
19,Khaled,Kareem,khaled.kareem19@email.com,570855700,Dammam,Saudi Arabia,5/22/2026
20,Hassan,Khaled,hassan.khaled20@email.com,557683626,Dammam,Saudi Arabia,5/22/2026
21,Noura,Ibrahim,noura.ibrahim21@email.com,595225343,Madinah,Saudi Arabia,5/22/2026
22,Huda,Ali,huda.ali22@email.com,572043515,Jeddah,Saudi Arabia,5/22/2026
23,Noura,Saad,noura.saad23@email.com,553524491,Jeddah,Saudi Arabia,5/22/2026
24,Ali,Ali,ali.ali24@email.com,552339391,Riyadh,Saudi Arabia,5/22/2026
25,Noura,Ibrahim,noura.ibrahim25@email.com,586125617,Jeddah,Saudi Arabia,5/22/2026
26,Reem,Yousef,reem.yousef26@email.com,577005685,Khobar,Saudi Arabia,5/22/2026
27,Layla,Mohammed,layla.mohammed27@email.com,528740864,Dammam,Saudi Arabia,5/22/2026
28,Huda,Saad,huda.saad28@email.com,588461803,Dammam,Saudi Arabia,5/22/2026
29,Tariq,Kareem,tariq.kareem29@email.com,539436733,Dammam,Saudi Arabia,5/22/2026
30,Samir,Ziad,samir.ziad30@email.com,516323852,Riyadh,Saudi Arabia,5/22/2026
31,Khaled,Mohammed,khaled.mohammed31@email.com,531472420,Khobar,Saudi Arabia,5/22/2026
32,Majed,Maher,majed.maher32@email.com,561642594,Riyadh,Saudi Arabia,5/22/2026
33,Nader,Farah,nader.farah33@email.com,543744231,Madinah,Saudi Arabia,5/22/2026
34,Huda,Sleiman,huda.sleiman34@email.com,525374874,Khobar,Saudi Arabia,5/22/2026
35,Huda,Faisal,huda.faisal35@email.com,555657579,Khobar,Saudi Arabia,5/22/2026
36,Fahad,Othman,fahad.othman36@email.com,570897765,Jeddah,Saudi Arabia,5/22/2026
37,Noura,Amin,noura.amin37@email.com,578139880,Jeddah,Saudi Arabia,5/22/2026
38,Khaled,Saleh,khaled.saleh38@email.com,578137358,Khobar,Saudi Arabia,5/22/2026
39,Lina,Mohammed,lina.mohammed39@email.com,531682744,Dammam,Saudi Arabia,5/22/2026
40,Samir,Sleiman,samir.sleiman40@email.com,553507489,Madinah,Saudi Arabia,5/22/2026
41,Yahya,Nasser,yahya.nasser41@email.com,551273847,Dammam,Saudi Arabia,5/22/2026
42,Ali,Ali,ali.ali42@email.com,520570592,Madinah,Saudi Arabia,5/22/2026
